"0","#| warning: FALSE"
"0","#| message: FALSE"
"0",""
"0","p <- state_df %>% "
"0","  filter(state==""Tennessee"") %>% "
"0","  ggplot(aes(x=year, y=rate, color=type)) +"
"0","    scale_color_manual("
"0","    values = c(death_per_1m = ""#0072B2"", pills_per_person = ""#D55E00"")"
"0","  ) +"
"0","  geom_line() +"
"0","  theme_minimal() +"
"0","  theme(legend.position = 'bottom') +"
"0","  labs(title=""Rates of opioid purchases and deaths in Tennessee"","
"0","       x = ""Year"","
"0","       y = ""Rate"")"
"0",""
"0","p"
